GHGRP ID No. / No d'identification du PDGES,Reference Year / Année de référence,Facility Name / Nom de l'installation,Facility City or District or Municipality / Ville ou District ou Municipalité de l'installation,Facility Province or Territory / Province ou territoire de l'installation,Facility NPRI ID / Numéro d'identification de l'INRP,Facility NAICS Code / Code SCIAN de l'installation,English Facility NAICS Code Description / Description du code SCIAN de l'installation en anglais,French Facility NAICS Code Description / Description du code SCIAN de l'installation en français,Reporting Company Legal Name / Dénomination sociale de la société déclarante,Reporting Company Trade Name / Nom commercial de la société déclarante,CO2 (tonnes),CH4 (tonnes),CH4 (tonnes CO2e / tonnes éq. CO2),N2O (tonnes),N2O (tonnes CO2e / tonnes éq. CO2),Total Emissions (tonnes CO2e) / Émissions totales (tonnes éq. CO2)
G10001,2023,Division Alma,Alma,Quebec,983,322111,Mechanical Pulp Mills,Usines de pâte mécanique,Produits forestiers Résolu,Resolute FP Canada Inc.,35709.49,580.777,16261.756,0.619,164.035,52135.281
G10003,2023,"Foothills Pipeline, Alberta",AIRDRIE,Alberta,0,486210,Pipeline Transportation of Natural Gas,Transport du gaz naturel par gazoduc,Foothills Pipe Lines Ltd.,Foothills Pipe Lines Ltd.,243466.855,441.583,12364.324,6.295,1668.175,257499.354
G10004,2023,Kingston CoGen,Bath,Ontario,5765,221112,Fossil-Fuel Electric Power Generation,Production d'électricité à partir de combustibles fossiles,Kingston CoGen Limited Partnership,Kingston CoGen,934.2516,0.212873,5.960444,0.023041,6.105865,946.317909
G10006,2023,Redwater Fertilizer Operations,Sturgeon County,Alberta,2134,325313,Chemical Fertilizer (except Potash) Manufacturing,"Fabrication d'engrais chimiques, sauf la potasse",Nutrien (Canada) Holdings ULC,Nutrien,1015330.582,2071.92639,58013.93892,24.875942,6592.12463,1079936.645
G10007,2023,Alberta Envirofuels,Edmonton,Alberta,3974,325110,Petrochemical Manufacturing,Fabrication de produits pétrochimiques,Keyera Corp,Keyera Corp,343296.5395,15.66355,438.5794,6.5901,1746.3765,345481.4954
G10008,2023,Alliance Pipeline Ltd. - AB Pipeline System,CALGARY,Alberta,0,486210,Pipeline Transportation of Natural Gas,Transport du gaz naturel par gazoduc,Alliance Pipeline Ltd. Partnership,Alliance Pipeline,522104.8744,628.201565,17589.64382,10.842515,2873.266475,542567.7846
G10009,2023,Alberta-Pacific Forest Industries Inc.,COUNTY OF ATHABASCA,Alberta,1,322112,Chemical Pulp Mills,Usines de pâte chimique,Alberta-Pacific Forest Industries Inc.,Alberta-Pacific Forest Industries Inc.,156230.613,199.0854,5574.3912,29.1557,7726.2605,169586.0863
G10010,2023,Rio Tinto Alcan Inc.,Kitimat,British Columbia,2788,331313,Primary Production of Alumina and Aluminum,Production primaire d'alumine et d'aluminium,Rio Tinto Alcan Inc,Rio Tinto,712384.628,2.63687,73.83236,1.072252,284.14678,809153.2871
G10011,2023,Algoma Steel Inc,Sault Ste. Marie,Ontario,1070,331110,Iron and Steel Mills and Ferro-Alloy Manufacturing,Sidérurgie,Algoma Steel Inc.,Algoma Steel Inc.,4276836.1,398.944,11170.432,15.69692,4159.6838,4292166.216
G10012,2023,Aluminerie Alouette inc.,Sept-Îles,Quebec,4778,331313,Primary Production of Alumina and Aluminum,Production primaire d'alumine et d'aluminium,Aluminerie Alouette inc.,Aluminerie Alouette inc.,1057955.7,1.6778,46.9784,2.3592,625.188,1108309.929
G10013,2023,Aluminerie de Baie-Comeau,BAIE-COMEAU,Quebec,2038,331313,Primary Production of Alumina and Aluminum,Production primaire d'alumine et d'aluminium,Ne pas prendre - Alcoa Canada Co.,Alcoa Canada Co.,521857,0.51,14.28,25.549,6770.485,537948.072
G10014,2023,Aluminerie de Bécancour inc.,Bécancour,Quebec,1071,331313,Primary Production of Alumina and Aluminum,Production primaire d'alumine et d'aluminium,Aluminerie de Bécancour inc.,Aluminerie de Bécancour inc.,798279.0454,1.6008,44.8224,2.2973,608.7845,819812.9182
G10015,2023,ATCO Pipelines - Transmission System,Edmonton,Alberta,0,486210,Pipeline Transportation of Natural Gas,Transport du gaz naturel par gazoduc,ATCO Gas and Pipelines Ltd.,ATCO Gas and Pipelines,66028.0479,1300.2055,36405.754,3.3559,889.3135,103348.1209
G10016,2023,Atikokan Generating Station,Atikokan,Ontario,3238,221119,Other Electric Power Generation,Autres activités de production d'électricité,Ontario Power Generation Inc.,OPG,16543.93,11.26,315.28,5.59,1481.35,18340.56
G10018,2023,Battle River Generating Station,Forestburg,Alberta,1033,221112,Fossil-Fuel Electric Power Generation,Production d'électricité à partir de combustibles fossiles,Alberta Power 2000 Ltd.,Heartland Generation,903843.0703,18.5615,519.722,4.8253,1278.7045,905641.4968
G10020,2023,Bayside Power,Saint John,New Brunswick,5084,221112,Fossil-Fuel Electric Power Generation,Production d'électricité à partir de combustibles fossiles,New Brunswick Power Corporation,NB Power,557185.0525,140.7333,3940.5324,14.0734,3729.451,564855.0359
G10021,2023,Usine de Bedford,Bedford,Quebec,5591,327410,Lime Manufacturing,Fabrication de chaux,Graymont (QC) Inc.,Graymont (QC) Inc.,326944.6269,1.833135,51.32778,1.516469,401.864285,327397.819
G10022,2023,Belledune Generating Station,Belledune,New Brunswick,1698,221112,Fossil-Fuel Electric Power Generation,Production d'électricité à partir de combustibles fossiles,New Brunswick Power Corporation,NB Power,1580642.024,25.6078,717.0184,20.3723,5398.6595,1586757.703
G10024,2023,Boundary Dam Power Station,ESTEVAN,Saskatchewan,2081,221112,Fossil-Fuel Electric Power Generation,Production d'électricité à partir de combustibles fossiles,Saskatchewan Power Corporation,SaskPower,3398995.895,182.819764,5118.953392,92.688965,24562.57573,3428677.424
G10025,2023,Thunder Bay Operations,Thunder Bay,Ontario,930,322112,Chemical Pulp Mills,Usines de pâte chimique,Thunder Bay Pulp and Paper Inc.,,183736.0082,52.56674,1471.86872,29.947388,7936.05782,193143.9348
G10026,2023,Brady Road Resource Management Facility,Winnipeg,Manitoba,6896,562210,Waste Treatment and Disposal,Traitement et élimination des déchets,"City of Winnipeg, Water & Waste Department",Water & Waste Department,0,17838.928,499489.984,0,0,499489.984
